address,amount
0x008f3F1530290b3c020A78897ccD48313E118809,0.0
0x008f97fc562816b72fdec866835dfF1b09584e3B,0.0
0x009061Ad01ED46b7281Fa91Bf40852D6Fac7b0b9,7.963666994397463e+18
0x009070f5F706594070b6AAF3438Fa3A7B54Af8fa,0.0
0x0090EC1cb692F2E2f3ca71CDFD70c7A6f96B5e18,0.0
0x00929C5c2c4f00B540e429247669Eb6fcd8b1DBF,4096.0
0x0093D9a1e0326e1D4C32f9F404434A0D27708F79,0.0
0x0093e5f2A850268c0ca3093c7EA53731296487eB,0.0
0x0093f076B3CC99F1D71c77AD0B809c49852ff60B,0.0
0x009606aC54990C5DEf5088abeE6eFc564A2c2AF9,0.0
0x009664aC783e8c1Fbc5F00A3eD6d0DA5FD670951,0.0
0x00967aFc46dd40581de33c61746Ae8c0Ff12C250,0.0
0x0096CF46eF03955044e546C01634c5706D3c806F,0.0
0x0097C38ae0B303d663dc985E80C6397cbf8Ab024,-256.0
0x0097d2edc6785bA4e068199f03D8F0EEa6C14187,0.0
0x0098b9E51226ecd8837Fc6991eB3151F5DB9444d,0.0
0x0098e854ed6AeC9328f2ee9798373a8B6F99BB26,0.0
0x0099F38885F1d500B9a6A1650590D3e302368a06,0.0
0x009BE0b8Fb1B80873073A5F668D5b91ab287cE97,0.0
0x009C07CC41a358176C97b525284D50F4960BC939,0.0
0x00A06769F016A64DAcE6367A6502ab8b2CbDd351,0.0
0x00A0F9915BFfdE19B274CFCF985C5f718BF0Dcb7,0.0
0x00A11EA59f9C857c883f597C10353d9F257F7713,0.0
0x00A5241Bc90Be78A28009394fF9B54771BE33d81,0.0
0x00AA975EB12E61B239E7DdE19D998bB55D321F23,0.0
0x00AD3c523b715cbd6cc1771f1A1743269b220fa4,0.0
0x00B5376eAb738257e8fE9324cEA2c15C3D692cBd,65536.0
0x00B591BC2b682a0B30dd72Bac9406BfA13e5d3cd,0.0
0x00BA0588c5Ec5B8bfa3e7c5d6ac535BEf192Ba11,0.0
0x00Bf5ec16471769882C6aA21d99feCF7A8f5d94E,0.0
0x00C0B95B5B23e8206c09F198ab6c0a924DD930AB,0.0
0x00C11091C77f32009F76026079a9AbC8c52ddd33,0.0
0x00C609BB7806A47616de8Cad327215CA70D45896,0.0
0x00C67d9D6D3D13b42a87424E145826c467CcCd84,0.0
0x00Ce0eEECda54CC17D324E18CFEE39f963935437,0.0
0x00Cf014A47c8254352d7c38c56457Fff2def7705,0.0
0x00D09b6aDBd4080341B50dDC9eD30b79f76D0354,0.0
0x00D1B39BDcFFfa2Cf35386d7434a8FA6e549128e,0.0
0x00D1e2045E03617C6c9fBacCCd44D568C02F115c,0.0
0x00D2BE804F6f0E7213D24C817A3C84bEFDf6B390,0.0
0x00D8Aea384D637A6d9610308bFa93549A5A39fE2,0.0
0x00DA6E82011dE7673044d848554a0873C7f521AC,0.0
0x00DA999769D95EaaA0A1b14627F14FbecC810872,6.4612e+16
0x00DDaF019D354106c3c6a8ce201504809F340358,1.338053987690537e+17
0x00E09A99F0FD6b69d07F888Edb0b6C1EE8e6dedD,0.0
0x00E93921075d887ca443698Db1Bc70e41f79B0aC,0.0
0x00EBE3F364A55e415419A5b01bdaEcAA70F01f31,4.652995307112801e+17
0x00EF195efd68A3d852e0a13E9Ef1799440180650,0.0
0x00F0Ed33f6DCB803f7470b19ec52579430b9ED06,0.0
0x00F3581e2795E3b59cDCf4e371E02D620a6E47cd,0.0
0x00F3E579F44cCAb81ce21515d23a1495C8Bc706E,0.0
0x00F3F73F07D9e9E797B82b00536e010018000000,0.0
0x00F3f31dFFbE3D1B1270232e5AEb48B251f9034a,0.0
0x00F469F5444b5224448eb2368918b5C9a68ea0C9,32768.0
0x00F665D2cFf2DDB79bB370120480CF9ef334bc97,7.113e+16
0x00a85db5F563fC53612ad1B2E2F28995B68cB95F,0.0
0x00aD29c074b9096029b11557A7ea6376B6df75b9,0.0
0x00aDF029C2eC7b3A81F4b6bE17D6e6b76dBD831F,0.0
0x00bB44c02949cedD63Fc008Efa2a1B80b975836A,0.0
0x00bEdF2186f77527143436C4DcE9fD1C085aFFFe,0.0
0x00bdb60c8450C82d8BfAc6009E4FFb754E98fA4f,0.0
0x00c0760336855d069cB09f0eE7857464BAb5EB30,0.0
0x00c2A435274dF296024Ab94A070673f5AEb49204,0.0
0x00c45aF1E6cb2a13f000a5d64606b957813f40fE,0.0
0x00c934F61663f0836C5AE56acAC479EC7eB437D4,0.0
0x00cB0484921BD51E9bbBC897FaC5c326EF52589c,2e+17
0x00cB8dD325f584E68c43E3764ba80ceD1a4F13D7,0.0
0x00cFbB77D868663860B77996238d1c7a4351C98c,0.0
0x00cb08662B10e1427dA9455B862cBb9d5978Fd3B,0.0
0x00d04B827fb8EFa25C2df0050d33D91a2E5b5B74,1.959e+18
0x00d10Cf10f38F0D2Cf12e6494A63C9CCcb9d406f,0.0
0x00d13C85F5C219a3fd23bd1413b7f0ffc816fF9e,0.0
0x00d1B56BC87fcB726473C58AffeD74ace13f32Ba,0.0
0x00d1aFb719E1794D9d73f2A297C66cdcAD8A62FB,0.0
0x00d3133DCaCAF0480fcebCC8c50EbB66923d2b18,0.0
0x00d338C29f8B59eFc8b590168Df814b97F300309,0.0
0x00d3A379526a73CE6079dBf16730601bBf5D8321,0.0
0x00d5818c2B0A051f2A3E18F046375248744a5A02,5.7046e+17
0x00d7749A53A19C17175DC2bc3d3048F6A959B4c1,0.0
0x00d831f24309B3271297F19B8e9bE846C8c531C4,32768.0
0x00d8f99b95Ea6BBB14bE35db1310473C42CDe572,2.2008033210003866e+17
0x00dBE6dFc86866B80C930E70111DE8cF4382b824,0.0
0x00dC7353CdC141eFe7738ab16F83167AB8d0Baf5,0.0
0x00dD72466c9bc28C9765b406ea147c1E15DBC7Ab,0.0
0x00dDEBCec8e24Af4B02c79292Fe13dB3bDa3fD96,0.0
0x00dEc3a61c9e4804B75415AE59E6CF6882835410,0.0
0x00da29bE68394B56D54F74Ea5dbFeE14B38D0530,0.0
0x00e1DD78F99E40291E84e228FBeA4E55b4179f56,0.0
0x00e20806e58376bd9D9ED0CF9C449fd22351Ad9b,0.0
0x00e4966e477cF25d1D703d03cd2648371680b756,0.0
0x00e944e63aF9E250328D7daB9EdCc8039899f841,0.0
0x00eB66bd0308b5e824a5cC078d246E6F2219dd2B,0.0
0x00eF42c06608724F87C3543103F1ACf19Cc02c57,0.0
0x00f051cB90271D686e2Cb9B6e2962579B6d68033,0.0
0x00f282C40b92BEd05f1776caDF1C8b96b9fBaEE3,-16384.0
0x00f35951b479c8eCc4e549Fcb19B46b2e773cBef,0.0
0x00fAE6D94585235c7aa8d1972B6f9cE0051849aA,0.0
0x00fBbBE34482bEC1407234C21CCa3d8C1bBE2229,0.0
0x010187932ba25686ADB80Fe9d2C11D42Ba2FF8Ee,0.0
0x01042962CFa603369134a65F60802104689cA30E,0.0
0x010461862255C312F6E33D423662970aA85e1336,0.0
0x01059D7e87C7d4c87d3dcf1E3EdDeEc78750B9e5,128.0
0x01067eEa64CF3Eb887151BB375e2362FFE8a38Ec,1.367472390183616e+17
0x010842F8DA2b34269c4c879d7a573ed7f74009F9,0.0
0x010AcFfec14A6413B3eFaAb0023996559EDc4878,0.0
0x010B0d82cb1f8084c4357415fbe0D20A561dcDE5,3.453831630452957e+18
0x010B51481B77531a100f41d2fF5149718ed1A480,2427128397889536.0
0x010Bb26dcf5B2594D140bdCe332A13040b89e23D,0.0
0x010D22758fC81d94db1594C42bBf53d5d862c6b7,5698186865888.0
0x010ad2A2710C6cdB2478e91661784aaF4D651D21,0.0
