address,amount,event,timestamp,year,month
0x6dF01b9e66d3267F1f8949A9e35f89043FE9822c,1e+20,Staked,2021-06-30 20:10:18,2021,6
0xf658269Ca1B33E2557F0E0B5088748cbE71B627b,2.6358935942548855e+20,Staked,2021-06-30 20:13:27,2021,6
0xa2cc87379eB8031930C3Bf287780DaC35928c209,1.5215703434694833e+20,Staked,2021-06-30 20:13:27,2021,6
0x6dF01b9e66d3267F1f8949A9e35f89043FE9822c,4.5e+19,Staked,2021-06-30 20:13:27,2021,6
0x02b85Aedf9c10A18144973B0a98e2F014da54E0F,1.5e+19,Staked,2021-06-30 20:13:39,2021,6
0x400f5Edab54B9d01b764B9Fd7cE93addF6215C5e,3e+18,Staked,2021-06-30 20:13:47,2021,6
0x50E1310b03eDA95b919B7d0b564518d77804434C,1.3930899957769175e+20,Staked,2021-06-30 20:14:22,2021,6
0x451047fd0056c602481477aDb302F281C66F82Ad,5.25e+18,Staked,2021-06-30 20:15:10,2021,6
0xeB7AEbE858c64450E3144512189A0fFeBB838d59,1.5e+20,Staked,2021-06-30 20:16:32,2021,6
0x0066023b24Edd70B7dEf47EFfbF2fd7617F9c66b,2.935862810190277e+19,Staked,2021-06-30 20:18:10,2021,6
0x6dF01b9e66d3267F1f8949A9e35f89043FE9822c,4.244621814674943e+19,Staked,2021-06-30 20:18:10,2021,6
0xeB7AEbE858c64450E3144512189A0fFeBB838d59,1.5015842642867133e+20,Staked,2021-06-30 20:18:44,2021,6
0xCE0B20547404278aFd17B795936F39877BFf7831,2.0496e+18,Staked,2021-06-30 20:19:59,2021,6
0x1eAE20767525E81a3c774E2187900cc37A51D230,2.001259437843271e+18,Staked,2021-06-30 20:20:20,2021,6
0x4bad779Ec73DBAaA44402D7370B071432D16C45a,2.9033576e+19,Staked,2021-06-30 20:20:34,2021,6
0x742348AbBab0D3ABb8884082db0E86c74EC854DB,4.698314784600299e+20,Staked,2021-06-30 20:22:00,2021,6
0xeF6534c74392eC47430aA8e0Cd5664d1957d183d,3.5795934551579546e+18,Staked,2021-06-30 20:24:04,2021,6
0xc03c79cE39FBAe587a97CDCaA581d482818F97cE,9.5e+19,Staked,2021-06-30 20:26:21,2021,6
0x89D7007b1855Ed9C15E9bBf3734fF10Cb082D176,8.702448312306683e+19,Staked,2021-06-30 20:27:16,2021,6
0xc03c79cE39FBAe587a97CDCaA581d482818F97cE,2.4078298151295267e+19,Staked,2021-06-30 20:28:10,2021,6
0x1dE7939eD3e65ADaff2C3912CCdE8265a06b6700,1.6917760906660754e+20,Staked,2021-06-30 20:28:15,2021,6
0xcF3A43765250cC13792642bAeD5881FB9EfAcec8,8e+20,Staked,2021-06-30 20:30:09,2021,6
0x88DCB0b7b1828D264fc15bdefc9057d40f69f3EF,1.5551337297933588e+19,Staked,2021-06-30 20:30:09,2021,6
0xD0a846eed558d61E65A3543ACc6B9B46619Cd2CE,6.622897155992465e+18,Staked,2021-06-30 20:30:20,2021,6
0x27c603225d8960669Ad251BEC96024A1E119895a,1.2e+19,Staked,2021-06-30 20:31:12,2021,6
0xa0fec1A6b8453873041c7529906De5c1ACc1b26a,5e+19,Staked,2021-06-30 20:32:11,2021,6
0x0cf0E9720Fe0523C91b4573E9C9A5B9d0054763F,1e+19,Staked,2021-06-30 20:33:54,2021,6
0x2e7FF9Dd3E4e9822798e5847DE0593a7b0b1042A,2.0003518938880364e+20,Staked,2021-06-30 20:33:54,2021,6
0x176E47fc2EB86FD82a6Cc9c1AEC28730B1BD3a1A,1.032e+20,Staked,2021-06-30 20:34:00,2021,6
0xba5c14d47dD62283CaCf17E1a1D4771edb1561E8,1.5536502194120825e+19,Staked,2021-06-30 20:35:42,2021,6
0x0cf0E9720Fe0523C91b4573E9C9A5B9d0054763F,-1e+19,Unstaked,2021-06-30 20:35:43,2021,6
0x6f1B10180d678cB77E50Cb94785Eb3B9c5c770E4,1.0016497461216231e+20,Staked,2021-06-30 20:36:18,2021,6
0x0cf0E9720Fe0523C91b4573E9C9A5B9d0054763F,1.1239355509326838e+21,Staked,2021-06-30 20:36:48,2021,6
0x8FAf90Ef6b505F26ACA8E264cc8CAB39151fAD32,7.240961910661014e+18,Staked,2021-06-30 20:39:40,2021,6
0x6Dc5351381B082fE5e1CA6E5c3666A7F6A4d9C03,1.1000082064387774e+21,Staked,2021-06-30 20:41:05,2021,6
0x08C8b685ab907B50FA78d1093daDCCC944880210,5e+20,Staked,2021-06-30 20:41:25,2021,6
0x4cde06bA4049e6F5A4644647ad7A09e799683d65,9.143118683420023e+19,Staked,2021-06-30 20:41:25,2021,6
0xbc8E4C006Bd1B96C1a50E8727F0b10874e6b261E,5.897459891666578e+20,Staked,2021-06-30 20:41:27,2021,6
0x266F93D3494bd17E18788B199d578616F387F65F,2.3247881611191816e+19,Staked,2021-06-30 20:43:32,2021,6
0x59932C8e0B3cf2D9f890bB5F4D30291086E651F9,3.438785473939249e+19,Staked,2021-06-30 20:44:08,2021,6
0xE293390d7651234c6DFB1f41a47358B9377C004F,1e+21,Staked,2021-06-30 20:44:34,2021,6
0x9E55738b050E72B014D6828765c21B116Ae750FD,2e+20,Staked,2021-06-30 20:44:47,2021,6
0x1aCb38eb9CA4F494B1332405c278CD538a310C2B,7.727618803003125e+19,Staked,2021-06-30 20:44:57,2021,6
